"num";"repro_nostopwords"
154;"Scammers sent fake emails  people  5%  people responded, leading   scammers earning millions  dollars"
155;"After  series  multiple arsons, police put   offer  people  catch ,   wearing   easy  identify shirt"
156;"A man  woman use  law firm's e-mail domain  scam people   money  accusing   distributing pornographic material."
157;"Graduate students accused  professor  sexual assault    lose  job    found guilty."
158;"Beginning  year,    vandal pyromaniac wreaking havoc around  German region  Bavaria. They caused $450,000 worth  damage  houses  cars. There   leads   investigation   police offered  $6,000 reward   evidence. When  happened,  black t-shirt   insignia  found  one   crime scenes. This piece  evidence  enough  convict  criminal without  reasonable doubt."
159;"Two boys  arrested  killing  beehive. They killed half   bees. They  facing jail time."
160;"Halfway   US, Indonesian police found 150 wildlife animals stuffed inside  container  holds  lot  US dollars.. It  suspected    trafficking ring. The people accused may   convicted due   alibis checking ."
161;"Scammers sent emails   group  people,  5%   people participated   emails' instructions, thus leading   scammers obtaining millions  dollars."
162;"After  police seizure  exotic birds  sold   illegal trading ring,  police attempted  open  case   ring. However, due   inconsistencies   evidence presented  eyewitnesses  ring members,  likelihood   ringleader  caught  low."
163;"A 12  13 year old  arrested  destroying  beehive,  face   10 years  jail time."
164;"Several women   students   neuroscience professor named Smith   university  come forward  allegations  sexual assault,  say   assaults took place  private meetings  parties."
165;"After  series  arson crimes  Bavaria, Germany  2018, police posted  $6,000 reward   suspect's capture,  resulted   successful arrest   man  fits  description  provided clues. Police believe   guilty."
166;"A couple's house  destroyed resulting  thousands  dollars  damage   beehives  also messed . Also,  boy  girl  charged  $1000  damage   let     minors."
167;"There   indonesian boat  150 exotic smuggled birds going  america,   caught midway"
168;"In august 2018, 30,000 emails  sent  suspected  copyright. They requested  11k  fines,   7 million already paid  realized    hoax"
169;"Professor smith   accused  sexual harassment,    witnessed  younger students  grad students."
170;"In Germany, someone lit 8 fires around cars  homes. There   ton  damage,  finally police found  shirt leading   arrest   37 yr old man. They're still doubtful   whether    accurate arrest, though."
171;"Two middle aged men  accused  hacking."
172;"Suspects  probably wrongly accused  illegally trafficking exotic birds."
173;"A man  accused  arson  fined    likely actually  person  committed  crime."
174;"Two teenagers  accused  destroying  couple's beehives  damaged  business  made  lose income. The police   made  conclusions   teenagers' guilt."
175;"A professor  accused  sexual assaulting women  various ways. He  tenure. The accusations  believable given  character judgement."
176;"A professor  accused  assaulting 11 different girls. He   suspended  even fired. From  charter tests  seems like    guilty."
177;"There   scam  Spain  sold   million  dollars   users. They asked  payment  avoid  sued,   clicked  link  took    legit law firm. About 5%   people paid."
178;"A couple  2017 woke    destroyed  farm. The responsible  two 12  13 year old kids. If found guilty.    fined  sent  juvie  10 years"
179;"A bird trafficker   find 1000  found guilty"
180;"8 fires  Germany,  biggest cause 6k  damages,   left   black shirt"
181;"30,000 Spaniards  sent  hoax email   fairly normal seeming email address. The email stated   people owed $11,000  legal fees  watching  downloading illegal pornography. 5%   people  received  email paid  fee, amounting   total  $17 million   perpetrators. After tracking  source   email   internet cafe,  police  able  find two suspects ( man  woman   50s). The video footage  unreliable,  thus    substantive identification made   video."
182;"There  four perpetrators arrested  illegally smuggling  truck full  birds   sold   US  pets. The birds  meant   sold  $10,000 . The perpetrators  face   8 years  prison."
183;"Professor Smith   accused  sexual harassment based  evidence  people  witnessed  (sexually?)  younger students."
184;"In Germany, someone lit 8 fires around cars  homes. The police  able  find  shirt   believed belonged   perpetrator,  tracked   suspect. They   sure   arrested  correct person, though."
185;"Two teens  accused  damaging  couple's beehives, thus damaging  couple's livelihood. The police   made  assumptions   teens' innocence  guilt."
186;"Scammer  Spain managed  scam millions  dollars   people. This    form   sign  button  5%  users clicked ."
187;"In Bulgaria,    extreme acts  vandalism since April 2018. The peak   chaos  8 arson attacks  resulted  $450,000 worth  damage. After offering $6,000  rewards,  people started  help find  criminals. The police   clues  help  find  perpetuators   black shirt  found  one   crime scenes. This evidence can hopefully  traced back   perpetuator."
188;"Indonesian police  able  find 150 wild life animals   container   halfway   journey   US. They suspect  animal trafficking  done   trafficking ring. The people accused may  face  legal action   help   alibis."
189;"A professor  accused  sexually assaulting several women. His actions came  shock since   tenure."
190;"Two teens   accused  negatively impacting  couple's livelihood  destroying  couple's beehive. The police   concluded whether  teens  guilty  ."
191;"One day  couple's shed  destroyed  housed  60 beehives, resulting  thousands  dollars  damages. A boy  girl  convicted  given  fine  $1000,   given leniency    minors."
192;"Professor Smith   accused  sexual harassment  11   female students. He   accused  making sexual comments,  organizing meetings  hot tubs. He may  fired."
193;"An animal trafficker  Indonesia  caught trafficking  expensive birds. They    pay  fine    $1000  convicted."
194;"Hacking made people bay fake fines  two middle aged men   identified  culprits."
195;"In Germany, someone lit fires around  town  homes  cars. One night 8 fires  lit. No one  hurt   property damage  around $450,000. Police offered  $6000 reward  information. A shirt  found belonging   suspect,  police  doubts  ."
196;"In Bavaria, Germany,   recently  8 fires set  trash cans, resulting  $450,000  damages. The police  37-year-old man   suspect,  rewarding $6000   tips   perpetrator. However,    sure     true suspect."
197;"Scammer  Spain managed  scam millions  dollars   people. This    form   sign  button  5%  users clicked ."
198;"A professor   neuroscience department  Corsen University, John Smith,  facing sexual assault claims  11 students. In  past,   spoke inappropriately  women  held nude hot-tub parties   students. A third party investigator   hired   interviewed 100 people  Smith's character. He may  forced  take leave   fired,   unheard    tenured professor."
199;"Two boys  charged  killing  beehive. They killed   bees. They  facing jail time."
200;"There   indonesian boat  50 birds,    caught midway"
201;"There   group  perpetrators illegally arrested  smuggling birds worth $10,000. Each perpetrator faces   ten years  prison."
202;"In August 2018, 30,000 hoax emails  sent. They  suspected    hoax, "
203;"A couple  2017 woke   find  farm destroyed. The accused  two 12  13 year-olds. If found guilty,    sent  juvie."
204;"In Bulgaria,   extreme acts  vandalism. These acts  vandalism cost   $450,000 dollars  damage. The vandalizers   caught  $6,000 rewards  offered   capture. Eventually,  black shirt found   crime scene served  evidence  find  guilty."
205;"A neuroscience professor   accused  multiple women  sexual misconduct. Even though several women  stated    commented   bodies,  independent law firm  ruled   evidence   vague."
206;"A couple's farm burned   2017. There  two twelve  13-year-olds  accused   go  juvie    found guilty."
207;"People  sending porn links  attract people,    cameras   low quality,  may  get  trouble  ."
208;"People  surprised   professor  found guilty  sexually assaulting multiple women, They  surprised     found guilty    tenure."
209;"There   Indonesian animal trafficker  trafficked rare birds. If   convicted,  birds    pay  1000 fine."
210;"A suspected arsonist  wearing   identifiable shirt. Police  asking  public  look  ."
211;"A couple's farm  burned   2017. There  two twelve  thirteen year olds   accused"
212;"An arsonist  wearing  identifiable shirt. Police  asking people  look  ."
213;"Thanks   routine cargo check,  Indonesian police  able  prevent  smuggling attempt. They found 150 exotic birds stuffed  drain pipes. These animals  meant   smuggled   US     sold  pets. The police arrested  four men   face   5 years  prison"
214;"A scammer  Spain managed  scam millions  dollars   people. The scammer used  sign  button  get 5%    users."
215;"Several women   students   neuroscience professor   university  come forward  allegations  sexual assault. They say  assaults took place  parties  private meetings."
216;"In December, two people discovered  beehives destroyed. The suspects  found   police   charged  destruction  property  breaking  entering. Since   minors,    charged   fine  $10,000."
217;"People  surprised   professor  found assaulting multiple women. They  surprised    found guilty    Tenure."
218;"In Bavaria, Germany,    8 car fires    cost  $450,000 dollars. The police   tip . But   find nothing."
219;"Thanks   routine cargo check, Indonesian police found exotic birds. The 150 exotic birds  found  drain pipes. They  supposed   shipped    United States   sold  pets. The police arrested four men,    face   5 years  prison."
220;"A scammer  Spain scammed millions  people. The scammer used  sign- button  scammed 5%   people."
221;"August 2018  Spain    email scam  accumulated  $17 million   scammers. Victims  sent  email  claimed    pay thousands  dollars  order  evade  lawsuit   sharing  pornographic media. The email account associated   scam email   traced   local law form  quickly disputed    hoax. By , multiple people  already paid. The location   scammers   traced   local coffee shop  clear footage revealed  man   woman   allegedly responsible   scam."
222;"John Smith,  tenured neuroscience professor,  facing sexual harassment allegations  11 students. He  reported   nude hot tub parties  students  saying inappropriate things   female students. A third party  investigating  Smith  facing  potential   fired  forced  resign."
223;"In December, two people found  beehives destroyed. The alleged suspects  minors   charged  destruction  property."
224;"Indonesian police  able  stop  smuggling attempt   stopped  truck  found  150 exotic birds  hidden  tubes  sell  pets. About  week later 4 men  arrested   involvement   exotic animal trafficking ring."
225;"At  beginning   year,  pyromaniac  causing destruction  Bavaria, causing $45,000 worth  damage  cars  houses. It   police offered  $6,000 reward   tip turned . A black shirt   insignia   led police  discover  perpetrator   events."
226;"A neuroscience professor   accused  sexual misconduct. Even though several women  said    commented inappropriately   bodies,  independent law firm  concluded   accusations   vague."
227;"Thanks   routine cargo check,  Indonesian police found 150 birds. These birds  hidden  drain pipes,    intended   brought  America   sold  pets. The police arrested four men,    face   five years  prison."
228;"A man   woman use  law firm's email domain  scam people    money  accusing   distributing pornographic material."
229;"In December, two people found  beehives destroyed. The suspects  minors   charged  destruction  property."
230;"At  beginning   year,  pyromaniac  wreaking havoc  Bavaria, causing   $45,000  damages. It   police offered  $6,000 reward  information   suspect  discovered;  insignia   black shirt led  police   suspected perpetrator."
231;"There  150 smuggled birds   found  police,   arrested 4 individuals    ones trying  bring   America."
232;"Two individuals   beehives destroyed,   suspects  minors."
233;"Professor Smith   accused  sexual harassment  people   allegedly caught    act."
234;"A pyromanic caused $45000 dollars  damages   police caught   offering  $6000 reward. The crucial clue   logo   black shirt."
235;"A man  woman conducted  email scam  netted   $17 million dollars. They    pretending    local law firm  demanding people  pay    lawsuit  unlawful distribution  pornographic materials."
236;"John Smith,  neuroscience professor,  facing allegations  sexual misconduct  11 students. Smith  accused   nude hot tub parties  female students. Smith may  removed   current position pending  investigation."
237;"In Balvaria, Germany    8 car fires,  cost  total  450,000 dollars. The police  tipped . They  find nothing.\n"
238;"In late December 2017,  couple  Iowa  checking   50 beehives,   discovered  tragic incident  occurred. Many   beehives  smashed   tools   taken    shed  destroyed,  damages totaling  60,000 dollars   loss   half  million bees. The police arrested two boys (one 13 years old    12)   alleged crime. Since   still minors   face  juvenile court,     convicted   likely spend   10 years  prison  face  charge  10,000."
239;"A couple conducted  internet scam  resulted   net gain  17 million dollars. The couple  pretend    law firm    accuse people  unlawful distribution  pornographic photos  tell   pay    crimes.\n"
240;"Indonesian police  able  stop  smuggling attempt   stopped  truck containing 150 exotic birds   hidden  tubes  sell  pets. About  week later 4 men  arrested   involvement   exotic animal smuggling ring."
241;"In late 2017  couple  Iowa found    50 beehives, many    smashed along  many   tools   shed destroyed.  This resulted   $60k  damages.  The police arrested two boys   act  destruction,  boys  12  13.  While   juveniles,   get convicted   face 10 years  prison  spend 10 years  prison."
242;"John Smith,  Neuroscience professor,  facing sexual misconduct charges  11 students.  Apparently,    nude hot tub parties  female students."
243;"In Balvaria, Germany    8 car fires  led  $450,000  damages.  The police    able  figure    responsible."
244;"Indonesian police stopped  smuggling  150 exotic birds  pulling   car   animals   going   sold  pets.  A week later, 4 men  arrested  connection   operation."
245;"A coupe conducted  internet scam     pretend    law firm   tell people   needed  pay money   law suit regarding illegal distribution  porn.  The couple made  $17m."
246;"In Balvaria, Germany, police    able  find  one responsible  8 car fires whose damages totaled ~450,000 (euros?)"
247;"In late 2017,  Iowan couple found  many   beehives  tools  destroyed. Police suspected  two boys, aged 12  13,   responsible  ~60k  damages. Police arrested  boys,     convicted,  face  possibility  10 years  prison."
248;"A couple made  $17 million  internet scams     pretend    law firm seeking damages related  ""illegal pornography distribution""."
249;"Professor Smith  accused  eleven   female students  sexual harrassment  innappropriate comments  meetings   hot tub. He might  fired."
250;"Indonesian police pulled  someone  150 exotic animals   going   sold  pets. A week later, police  arrested 4 people   involved   plan."
251;"4 individuals  arrested  smuggling 150 birds  America."
252;"Accusations  sexual misconduct   professor  deemed  vague   law firm."
253;"Police  unable  find  perpetrators   hoax email sent   large number  people  Spain."
254;"Two boys  arrested  destroying  beehives,   serve time  jail  convicted."
255;"Police arrested  person  setting multiple fires  Bavaria  causing thousands  dollars  damages."
256;"The police  Bavaria arrested  person  caused several fires  caused severe losses  money."
257;"A couple  Iowa,  December 2017, checked   50 beehives  found  smashed  overturned. There  enormous amounts  money lost  death   bees  damage  property. Two boys, aged 12  13,  suspected    culprits, although investigations  still ongoing. The boys  minors,   convicted,  face   10 years  Juvenile Court."
258;"A hoax email  sent  many people  Spain,  police  unable  find  sent ."
259;"Professor Jim Smith,   Neuroscience Department  Corsen University,  accused  sexual harassment  eleven graduate students. The accusations alleged   frequently commented  women's appearances,  quid pro quo relations   students,  held several hot tub parties, involving nudity,   students  present . An investigation   commissioned. The report  include testimony   character    100 people,   appears   situation   complex  nuanced   allegations suggest."
260;"Police  Indonesia,  carrying   routine cargo check, found several exotic birds stuffed  drain pipes   closed   end. They suspected  group  wildlife traffickers. The testimony   suspects  inconsistent,  several people's testimony indicates  guilt. They face  fine  $8000  several years  prison."
261;"A couple  Iowa   bee-farm. Two middle school boys went  destroyed  beehives."
262;"People  sending porn links   people  order  attract . The images generated   camera   low-quality though   may  get  trouble."
263;"Indonesian police arrested  person   150 exotic animals  planned  sell   pets. Later , 4  people  arrested  helped   original person."
264;"There   fires set  Bavaria, Germany. The local police   trouble figuring   caused  fires   set   $6000 reward  tips. The police  found  black shirt  led   arrest  guilty individual. It  unclear whether  found  shirt    monetary reward  ."
265;"A neuroscience professor, Jim Smith,   trial  sexually harassing  potentially sexually assaulting  graduate students."
266;"On August 30, 2018, 30,000 people  Spain received  fraud email  accused   illegally distributing pornographic content  threatened  take legal action  sue   fine  $11,500   paid    recipient. The email address   sender  faked  appear      legitimate law firm  Spain,   publically claimed  email    hoax. As  reporting,  $17 million  ""fines""  paid   recipients   fake email. Recently,  man   woman  caught  arrested  sending  fake emails   basis  security camera footage   two sending  emails   cafe. However,    recent dispute  controversy   usage   camera footage  evidence, given   quality   footage  poor     completely clear   people   recording ."
267;"Police  Indonesia carrying   routine cargo check found several exotic birds stuffed  drain pipes   closed    ends. The police suspected wildlife traffickers  arrested suspects,   inconsistent testimonies  indicated  guilt. If charged,  face  fine  $8000    9 years  prison."
268;"In late December  2017,  couple  Iowa discovered   50 beehives   hacked apart  smashed,  equipment   shed vandalized  thrown . The incident caused  death   half  million bees  around $60,000  damages. Police recently arrested two boys, aged 12  13 years old,   allegedly responsible   crime. Because   minors,  face  fine    $10,000     10 years  juvenile detention. No charges   officially pressed yet,  evidence points    responsible   crime."
269;"Some fires, possibly arson,  set  Bavaria, Germany. Police  trouble finding  leads   possible culprit   put   $6,000 reward   tips. Afterwards, police found  black shirt  led   finding  arresting  potential perpetrator   fires. It  unclear whether  monetary reward  tips   cause   new development."
270;"A neuroscience professor, Jim Smith,   trial  sexually harassing  possibly sexually assaulting  graduate students."
271;"There   fire  Bavaria Germany. Police put   monetary prize   tips   case. They ended  finding  black shirt  led   culprit. But,    know   money helped  find  black shirt."
272;"Late last year,    couple whose beehives  destroyed  garage  vandalized. Over half  million   bees  killed. Two young teenage boys  arrested  connection   crime,  evidence points heavily towards ,     yet  formally charged   crime."
273;"A neuroscience professor, John Smith,  now  trial    sexually harassing  potentially sexually assaulting    grad students."
274;"Recently, many people  Spain  sent  email asking   pay  fine  else    sued   crime. These people  paid many, many dollars. The email came   reputable law firm,   firm reports     hoax. A man  woman   arrested  connection   crime   camera footage  makes  culpable. However,  controversial,  people debate whether camera footage can  used   scenario,  footage  blurry,    clear   people    video."
275;"Police  Indonesia    usual cargo check found exotic birds stuffed  pipes   closed   ends. Wildlife traffickers  suspected   crime,   inconsistent testimonies. If charged,  face 9 years  prison  many, many dollars  fines."
276;"Recently,  email  released  convinced people  needed  pay  fine.  These people paid  lot  money.  The email appeared  come   reputable law firm,   firm reports     hoax.  Now,  man   woman  suspected    involved   crime,   appear  camera footage  connects    crime.  However, usage   footage  controversial, since  footage  blurry   hard  tell     video."
277;"Since mid-April 2018,  region  Bavaria, Germany,  faced  problem  arson.  Many fires   started  arsonists lighting  trash cans   objects near people's houses,  damages around $450,000.  Nothing happened  police offered  reward  $6000  every tip.  Police  found  critical clue-- crumpled- black shirt bearing  unique design, found near one   crime scenes-- connects  certain man   crime.  However,   sure   evidence  strong enough  convict ."
278;"Late last year,  couple's garage  beehives  vandalized.  Over half  million bees died.  Two teenage boys   arrested  conjunction   crime,     charged yet."
279;"A neuroscience professor, John Smith,  now  trial    sexually harassing  also potentially sexually assaulting grad students."
280;"Police  Indonesia   routine checks found exotic birds stuffed  pipes   closed   ends.  Wildlife traffickers  suspected   crime.  There  enough evidence yet,   caught,   face   9 years  prison  high fines."
281;"A man  woman  suspected   involved   crime, including fraudulent fine bills,   sent  various people, causing   wrongly pay large sums  money. However,    presently sufficient evidence  confirm  guilt."
282;"Two teenage boys   arrested  suspicion  vandalizing  couple's beehive. This action caused  death  millions  bees. These boys   yet  charged   crime."
283;"Following  man-made fire  Bavaria, Germany,  black shirt constituted sufficient evidence  lead  police   arsonist guilty  causing . However,   unclear whether  finding   result   monetary prize   police offered  exchange  evidence relating   case."
284;"In Indonesia,  maximum penalty  stuffing exotic birds  pipes  heavy fines  9 years  prison. When  incidence    crime occurred,  police suspected  wildlife traffickers  responsible   crime."
285;"There  allegations  Professor Jim Smith  Neuroscience  Corsen University    guilty  sexual harassment. Evidence   includes  testament   100   students   character,  well   stories  11 women. Accusations   include   forced students  come   house  private meetings, commented   female students' appearance,  hosted hot tub parties  included nudity. If found guilty,  faces fines  potential firing."
286;"Beginning  April 2018,     series  arson crimes occurring  Germany. The damage caused   crimes  amounted  nearly $450,000. Recently,  police   offering rewards    $6000 per tip given, resulting   clues. Though  police  found certain evidence linking one man   crimes,   unsure   evidence -  uniquely labeled shirt-  enough  convict ."
287;"A neuroscience professor, Jim Smith   accused   sexual harassment. 11 women    former graduate students came forward  stories. He   things   force students   meetings     home, host hot-tub parties,  comment   girls' appearances. If  professor  found guilty  sexual harassment,   either  suspended   long period  time  fired."
288;"Two teenage boys  arrested  vandalising  couple's beehive. The damage resulted   death  millions  bees."
289;"A man   woman  suspected   involved  writing fraudulent fine bills,   sent  people  resulted   wrongly paying  couple large sums  money. However,   still  evidence  confirm    indeed guilty."
290;"Indonesian police  able  prevent  smuggling attempt   routine cargo check. The police found 150 birds stuffed  pipes. The animals,   supposed   transported   US,  worth  $250,000. A week   discovery   smuggling attempt,  police arrested four men. While  suspects    convicted,   several eyewitness reports,   lack  consistency   suspects'  testimonies suggests     likely guilty."
291;"Indonesian police  able  stop  smuggling attempt. They found 150 birds smuggled  pipes,     worth $250,000     able  smuggle . The police arrested four men  connection   case. There  several eyewitnesses,   lack  consistency   reports given   4 men. Because  ,   highly likely    charged   crime."
292;"A neuroscience professor, Jim Smith,  accused  sexual harassment. 11 women,  former graduate students,  come forward  accuse . He  accused   meetings   home, commenting  female student's appearances,   hot tub parties  involve nudity. If found guilty,    fired  go  jail   long time."
293;"In December  2017,  12  13 year old inflicted $60,000 worth  damage  beehives  hacking  . They destroyed someone's livelihood  . Because   -18,    tried  juvie court."
294;"After  man-made fire  Germany,  black shirt  enough evidence   police  convict  arsonist. However,   unclear whether    result   police issuing  monetary reward  evidence regarding  case."
295;"On August 30, 2018, 300,000 people  Spain received scam emails claiming  person needed  pay $11,500. The subject line  ""Important-- please respond""  said   person  receive punishment    pay  fine. The email  traced   law firm  determined    scam. Before  police shut  , 5%   people  paid  ""fine."" They trace  email   internet cafe   people  sent  email,  used video surveillance  determine    man  woman ( 52 years old)  sent  email. They tracked  ,   2 people  facing legal action  jail time, especially   surveillance video   high quality."
296;"There   many crimes involving arson  Germany,  damages totaling  $400,000. Tips  solve  crime  valued around $6000. One tip   uniquely labeled shirt,  police  sure   evidence  enough  convict  suspect."
297;"Two teenagers vandalized  beehive belonging   couple. Half   bees tragically died,  lots  money  lost."
298;"Professor Jim Smith  Neuroscience  charged  sexual harassment based  100 people testifying   character   stories  11 women. He hosted hot tub parties  involved nudity."
299;"Four men  arrested  smuggling birds. They  caught   cargo check."
300;"A high-quality surveillance video found   man  woman  sending scam emails titled ""Important-- Please Respond""  people asking  money. 5%  people fell   scam  sent  money."
301;"11 woman accused  professor  sexual assault. 100 people  testified  . He  accused   hot tub parties   women  involved nudity"
302;" 37 year old set fire   town    alot  damage.  found    investigating"
303;" man  woman  scamming people  people found   surveillance videos.   sending email  title ""important- please read""  scamming people  money,  5% fell  "
304;"two teenagers vandalized  beehive belonging   couple. half  bees died     lot  cost damage."
305;"4 men  caught trying  smuggle birds worth 250,000$.   caught  arrested  charged   crime"
306;"There   group  people scamming people  money using email. They got money  5%   targets. The public found    surveillance videos."
307;"There   fire set   town,  investigating   found    57 year old man responsible"
308;"11 women  accused  graduate professor  sexual harassment. There   number  inappropriate events including nude hot tub parties. If found guilty  professor  lose  job."
309;"Two teenagers destroyed  beehive, killing half   bees  causing  lot  damage. The beehive  owned   couple."
310;"The Indonesian police stopped  smuggling attempt  150 exotic birds worth ~$250,000. The police  aided   anonymous tip."
311;"Teacher  inappreiate   grad students  may lose  job"
312;"4 men got caught smuggling 250000 dollars  got arrestsd\n"
313;"People got arrested  got  trouble   email scam"
314;"Under 18 year olds wrecked someones lively hood"
315;"57 year old man set  fire   town\n"
316;"Two teenagers destroyed  beehive, killing half   bees  causing lots  damage. The beehive  owned   couple."
317;"There   many crimes involving arson  Germany,   total damages   around $400,000. Tips  information  suspects  around $6,000. One   tips   uniquely labeled shirt,  police  unsure    enough evidence  convict  suspect."
318;"There   group  people scamming  people  money using email. They got money  5%   targets. The public found    surveillance video."
319;"The Indonesian police stopped  attempted smuggling  ~150 exotic birds worth around $250,000. The police  aided   anonymous tip."
320;"A professor   neuroscience department  Corsen University  recently  accused  sexual harassment. This professor, Jim Smith,   accused  11 female former graduate students. They  come forward  stories  accusations involving frequent comments  graduate students' appearance,  hosting hot-tub parties involving nudity   students  present. \nAn external law firm   commissioned  perform  external investigation. If  findings  serious, Smith   indefinitely suspended,  even fired,   uncommon  tenured professors.\nA report   commissioned   professor's character    100 sources documenting  behavior  character. This report shows   allegations  less clear-cut   may originally seem."
321;"Two teenagers destroyed  beehive belonging  two old people, killing half  bees."
322;"A scam email  sent   thousands  people  spain declaring   recipients  infringed copyright  distributing pornographic content   now required  pay  $11,000 fine. Ultimately,  5%   recipients paid  scammers, resulting   net profit   $17 million  . Weeks later,  emails  traced   internet cafe  security footage  probed  arrest  man   woman   suspected   crime. However,  footage   clear."
323;"Aided   anonymous tip, Indonesian police confiscated  bunch  birds worth around $250K  total"
324;"In  last eight months, Bavaria  suffered  series  arson crimes whose damages stretch   hundreds  thousands. They've now arrested  subject   believe  guilty without  doubt."
325;"  100 people   testified   professor, 11  accused   sexual assault. He allegedly  nude hot tub parties."
326;"In August  2018, 30,000 emails  sent  unsuspecting patrons, accusing   illegally distributing pornographic content,  asking   pay $11,500  remedy  situation. When  clicked  link   email,   take    legitimate law firm's website. The law firm denounced  senders   emails, accusing   fraud. Police investigated  discovered  emails  sent   internet cafe. When looking   footage   cafe's security cameras,  discovered  man  woman responsible   crime. If caught,    facing   nine years  prison. So far, 5%  email recipients  paid  supposed costs, totaling $17 million sent   scammers."
327;"In December  2017,  couple checking   beehives discovered  fifty     overturned, smashed,  destroyed. This caused  death  millions  bees,  damages   $60,000. They contacted local authorities,   two boys (12  13 years  age)   allegedly responsible   crime. If convicted,   charged   series  offenses, including burglary  damage  private property."
328;"Aided   anonymous tip,  Indonesian police confiscated  bunch  birds worth  $250K dollars  total."
329;"A professor   neuroscience department  Corsen University   accused  sexual harassment  11 former graduate students. Accusations include inappropriate comments  graduate students' appearance,  hot-tub parties,    students  encouraged  attend.If convicted,  professor  potentially  fired,   uncommon  tenured professors. In order  investigate  claims,  university put   report detailing    claims. This report shows   claims may    clear cut   seem."
330;"There   many crimes involving arson  Germany,   damaged  totaled $40,000. Tips   crimes   $6,000. One   tips   uniquely tagged shirt, although officials  unsure whether   enough  convict  suspect."
331;"Over  past  months, Bavaria  suffered  series  arson crimes, whose victims stretch  hundreds  thousands. The people  Bavaria believe   found guilty  one responsible   crimes."
332;"Of  100 people  testified   professor, 11 found  guilty  sexual assault. He allegedly  nude hot tub parties."
333;"A scam email  sent  thousands  people  Spain accusing  recipients  infringing copyright  distributing pornographic material,  demanded  $11,000 fine. Of  recipients, 5% actually paid  fine, resulting   net profit  $17,000   senders   email. Weeks later,  email  traced back   cafe  footage found  man   woman,   thought   responsible   scam. However,  footage   clear."
334;"Thanks   routine cargo check, Indonesian police  able  prevent  smuggling attempt. 250 tropical birds  found   stuffed inside plastic tubes  wires attached   end. The police believed     work   wildlife smuggling ring. Weeks later,  police arrested four men   believed  responsible   smuggling, charging  extensive fines  four years  prison    found guilty. The case  supported  multiple eyewitness reports   smuggling. On   hand,  men's testimonies  many inconsistencies, thereby potentially indicating  involvement."
335;"In late December 2017,  couple  Iowa  checking   50 beehives   stumbled upon  tragic scene. All 50 beehives appeared   smashed, along   farm shed containing   equipment, incurring  total  50 million bee deaths  $60,000  property damages. The police found two children (12 years  13 years) potentially responsible   crime. They   tried  juvenile court. If found guilty    accused  burglary  damage   animal farm, resulting  ten years  prison   fine  $10,000. The evidence strongly points   children  responsible   damages."
336;"In December 2017,  couple    lot  new hives found  every single one    destroyed,  amounted   60,000  damage. The suspects  two boys (12  13 year old)     convicted   face serious charges  trespassing  damage  property."
337;"A professor   suspected   sexual harassment   11 students. He asked invited   hot tub parties  commented  appearance. He  lose  job    convicted,   uncommon  tenured professors. The allegations aren’t  consistent though,    unclear   happen next."
338;"Two people sent  30,000 emails   people claiming   owed 11,500 dollars  charges  distributing pornographic images. There   link   actual law firms website   firm found   contacted authorities. It  discovered   emails  sent   Internet cafe   camera caught  man   woman  camera   time   sent. They’ve already gained 17 million dollars  scamming people    get   lot  trouble   crimes."
339;"Aided   anonymous tip,  Indonesian police consciences 250k worth  birds."
340;"Over  past  months, Bavaria  suffered  series  crimes,   arson. They believe  found  suspects."
341;"indonesian police prevented  smuggling attempt.  found 250 birds inside tubes. They arrested  men   testimonies  line     might  guilty"
342;"There   scam  Spain   email  sent asking  11K  something    pornographic materials. There   couple   suspected   done    footage  spotted    cafe  clear."
343;"There   lots  crimes  recent months  Bavaria   think    suspects"
344;"In December 2017 someone's hives  damaged   $60,000  damage. The suspects  two boys, 12  13 years old,    face punishment  found guilty."
345;"A professor  Corsen University  charged  sexual assault  11 different people     found guilty    terminated   job."
346;"A professor  accused  inappropriate sexual conduct. He invited  students   hot tub  made  comments   appearance. He  definitely lose  job  convicted. However,  evidence   conclusive."
347;"Police found exotic birds    smuggled   cargo ship. They found  150   specimens within  pipe, sealed    sides  wires. These birds  thought    going   United States   sold  pets,    fetch  price   250000 dollars. A wildlife trafficking ring  suspected. A week   shipment  found,  police arrested 4 men. If convicted,   face   5 years  prison     8000 dollar fine. However,   arrested  due   anonymous tip,     alibis   crime committed. Therefore,   unlikely     convicted."
348;"There   scam  spain  asked  11K  relation   sort  pornographic materials. There  reports   couple  suspected   case,   footage  found     cafe   clear."
349;"In December 2017, two couples  operate  bee farm found  hives destroyed. Around 50 hives  smashed,  inhabitants dead. Millions  bees  killed,   couple incurred 60000 dollars  damages. Two young children  ages 10-12  suspected. If convicted,   go  juvenile prison    10 years  burglary  damaging property. Much   evidence points    guilty."
350;"In April 2018,  series  arsons occured  Bavaria, Germany. The arsons ranged  trash cans  town houses,   many  6 fires started  one night. These fires incurred  200000 dollars  damages. Though  manhunt  slow,  6000 dollar reward  information eventually became fruitful. A unique black shirt found  one   crime scenes may    crucial clue. A 37 year old man  arrested,   evidence leaves little doubt    guilty."
351;"There   string  deliberate arsons  Bavaria, Germany   long period  time. As many  6 fires  started  one night,   caused  extreme amount  damage -  much  200,000 dollars. A black shirt  discovered   key clue   6,000 dollar reward  offered,   37 year old man  arrested. He  presumed guilty."
